Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Nome,Height_in_inches,Wins,Losses,Draws
145.0,68.0,Orthodox,"Nov 29, 1990",3.21,0.48,4.54,0.45,1.18,0.18,0.27,0.2,Felicia Spencer,66.0,9,3,0.0
170.0,77.0,Southpaw,"Aug 24, 1989",0.8,0.28,0.13,0.66,0.0,0.0,0.25,0.0,Michael Cora,73.0,4,1,0.0
145.0,,,"Jun 03, 1977",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jason McLean,65.0,6,7,0.0
155.0,,Orthodox,"Mar 31, 1976",3.3,0.32,2.2,0.63,1.5,1.0,0.0,0.0,Naoki Matsushita,66.0,12,16,11.0
155.0,74.0,Orthodox,"Nov 24, 1995",2.9,0.48,2.69,0.62,1.61,0.5,0.0,0.0,Vinicius Cenci,73.0,7,2,0.0
145.0,72.0,Switch,"May 15, 1998",2.27,0.35,3.27,0.57,2.0,0.33,0.0,0.0,Robert Ruchala,68.0,11,2,0.0
265.0,,Southpaw,"Jul 26, 1977",2.74,0.6,2.13,0.41,0.0,0.0,0.0,0.0,Bryan Vetell,75.0,4,3,0.0
170.0,,Orthodox,"Apr 12, 1974",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mikey Burnett,66.0,5,2,0.0
115.0,62.0,Orthodox,"Jun 26, 1992",4.99,0.44,5.39,0.52,0.26,1.0,0.64,0.3,Hannah Cifers,61.0,10,7,0.0
265.0,,Orthodox,"Oct 27, 1973",1.2,0.5,1.31,0.53,0.0,0.0,0.47,1.1,Semmy Schilt,82.0,26,14,1.0
251.0,,Orthodox,"Aug 05, 1981",2.47,0.42,2.47,0.69,0.65,1.0,0.0,0.0,Azunna Anyanwu,73.0,14,5,0.0
155.0,,,--,4.57,0.31,3.83,0.58,0.0,0.0,0.66,0.0,Salvador Becerra,69.0,5,2,0.0
181.0,,Orthodox,"Jan 12, 1976",0.88,0.4,1.66,0.49,1.82,0.41,0.05,1.9,Ikuhisa Minowa,69.0,60,42,8.0
155.0,70.0,Orthodox,"Dec 14, 1979",2.33,0.41,2.29,0.57,1.3,0.35,0.3,2.2,Drew Fickett,70.0,42,21,0.0
185.0,77.0,Southpaw,"Dec 18, 1987",3.01,0.45,3.52,0.53,1.82,0.3,0.42,1.4,Gerald Meerschaert,73.0,37,21,0.0
125.0,63.0,Orthodox,"Jun 27, 1998",1.87,0.38,0.93,0.67,3.0,0.5,1.0,3.0,Rashid Vagabov,67.0,14,2,0.0
170.0,74.0,Orthodox,"Mar 09, 1996",2.4,0.37,8.8,0.68,0.0,0.0,0.0,0.0,Zachary Scroggin,75.0,7,1,0.0
145.0,68.0,Orthodox,"Jan 17, 1981",1.47,0.44,2.72,0.43,2.4,0.5,0.83,1.0,Cole Province,69.0,6,2,
135.0,64.0,Orthodox,"Dec 19, 1991",4.81,0.52,4.75,0.5,1.86,0.34,0.61,0.0,Brad Katona,66.0,16,5,0.0
205.0,75.0,Orthodox,"Feb 28, 1980",2.77,0.52,3.07,0.59,2.22,0.24,0.83,0.0,Francimar Barroso,73.0,19,7,
185.0,75.0,Orthodox,"Dec 08, 1986",3.63,0.34,5.76,0.55,0.65,0.3,0.8,0.7,Steve Cantwell,74.0,7,6,0.0
125.0,,Orthodox,"Sep 03, 1987",4.74,0.54,5.95,0.33,0.0,0.0,0.83,0.0,Rilley Dutro,68.0,11,4,0.0
125.0,69.0,Orthodox,"Aug 10, 1996",2.1,0.54,2.59,0.47,6.01,0.38,0.66,0.3,Rafael Estevam,68.0,14,0,0.0
249.0,,Orthodox,"Jan 17, 1966",1.84,0.56,2.14,0.48,0.4,1.0,0.53,0.8,Gary Goodridge,75.0,23,22,1.0
155.0,,Orthodox,"Feb 07, 1989",2.99,0.52,8.28,0.59,0.0,0.0,0.0,0.0,Gleidson Cutis,69.0,7,4,0.0
155.0,,Orthodox,"Oct 10, 1980",1.79,0.35,2.55,0.55,3.19,0.83,0.69,0.6,Doug Evans,69.0,13,10,0.0
130.0,,,"Jan 12, 1976",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JW Wright,,1,0,0.0
125.0,66.0,Orthodox,"Dec 16, 1996",3.2,0.43,6.03,0.42,8.0,0.44,1.0,0.0,Nick Piccininni,66.0,7,1,0.0
155.0,,Orthodox,"May 18, 1978",2.02,0.34,5.41,0.53,0.0,0.0,0.8,0.4,Muhsin Corbbrey,70.0,17,9,0.0
185.0,79.0,Orthodox,"Jun 02, 1992",5.82,0.66,2.52,0.61,0.39,1.0,0.68,0.0,Yousri Belgaroui,77.0,9,3,0.0
125.0,66.0,Orthodox,"Mar 20, 1984",2.57,0.43,2.55,0.56,0.62,0.23,0.44,1.1,John Moraga,66.0,19,7,0.0
170.0,,,"Mar 05, 1980",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dave Zitanick,,5,7,
261.0,78.0,Orthodox,"Jul 16, 1998",41.25,0.64,7.5,0.71,0.0,0.0,0.0,0.0,Steven Asplund,77.0,6,1,0.0
205.0,,,"Sep 08, 1982",2.3,0.47,3.18,0.54,1.01,0.5,0.0,0.0,TJ Cook,,13,5,0.0
135.0,66.0,Orthodox,"Aug 12, 1980",3.94,0.47,3.5,0.52,1.74,0.31,0.61,0.1,Frankie Saenz,66.0,13,7,0.0
135.0,,Orthodox,"Apr 12, 1991",6.81,0.56,2.89,0.54,2.06,0.66,0.75,0.0,Melissa Croden,,7,2,0.0
145.0,,,--,1.4,0.46,1.2,0.57,2.0,0.25,0.5,0.0,Bryanna Fissori,64.0,2,4,0.0
185.0,,Orthodox,"Nov 29, 1972",1.13,0.34,0.27,0.6,0.0,0.0,0.33,0.0,Jean Francois Lenogue,72.0,16,17,3.0
170.0,72.0,Orthodox,"Nov 13, 1989",2.78,0.53,2.61,0.65,1.25,0.22,0.88,0.0,Abubakar Nurmagomedov,71.0,17,4,1.0
145.0,70.0,Southpaw,"Dec 02, 1998",5.22,0.43,3.39,0.66,0.0,0.0,0.83,0.0,Keiichiro Nakamura,70.0,7,1,0.0
200.0,,Orthodox,"Nov 18, 1974",0.33,0.33,2.64,0.11,0.0,0.0,0.0,0.0,Ron Fields,74.0,28,32,1.0
135.0,67.0,Orthodox,"Apr 12, 1992",2.04,0.34,3.79,0.48,0.28,0.5,0.5,0.6,Fernie Garcia,67.0,10,5,0.0
125.0,67.0,Orthodox,"May 30, 1995",3.82,0.4,3.82,0.52,0.0,0.0,0.0,0.0,Terrance Saeteurn,66.0,8,2,0.0
230.0,,Orthodox,"Jun 11, 1963",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cal Worsham,71.0,13,10,0.0
155.0,71.0,Southpaw,"Mar 10, 1990",1.28,0.48,1.88,0.53,1.75,0.3,0.69,0.8,Zhang Lipeng,71.0,23,9,1.0
135.0,70.0,Orthodox,"Nov 04, 1984",0.85,0.37,4.93,0.36,0.0,0.0,0.4,0.0,Oron Kahlon,68.0,16,1,0.0
155.0,,,"Jun 06, 1985",1.67,0.36,2.6,0.41,0.0,0.0,0.4,5.0,Magno Almeida,72.0,10,3,
205.0,77.0,Orthodox,"Feb 13, 1971",1.13,0.37,4.6,0.53,0.0,0.0,0.0,1.2,Elvis Sinosic,75.0,7,11,2.0
192.0,,,--,8.41,0.79,0.0,1.0,5.49,1.0,0.0,11.0,Kenny Ento,74.0,14,15,0.0
145.0,70.0,Orthodox,"Jul 10, 1994",3.86,0.37,4.86,0.57,0.43,0.66,0.75,0.0,Austin Lingo,70.0,9,3,0.0
185.0,,Southpaw,--,0.0,0.0,2.4,0.4,0.0,0.0,0.0,0.0,Bill Duvall,74.0,1,2,0.0
185.0,78.0,Orthodox,"Nov 18, 1982",1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,Ildemar Alcantara,74.0,21,11,0.0
205.0,71.0,Orthodox,"Jul 07, 1975",2.66,0.4,1.78,0.65,2.37,0.25,0.25,1.3,Jason Brilz,71.0,22,6,1.0
145.0,68.0,Orthodox,"Feb 16, 1986",3.37,0.45,2.98,0.54,1.45,0.22,0.63,0.0,Mark Eddiva,68.0,6,3,0.0
125.0,67.0,Switch,"Apr 07, 2005",2.74,0.6,2.19,0.59,0.0,0.0,1.0,0.0,Agulali,69.0,13,2,0.0
170.0,72.0,Orthodox,"Sep 03, 1986",3.53,0.46,2.74,0.63,0.27,0.42,0.79,0.1,Lorenz Larkin,71.0,18,6,
139.0,,Southpaw,"Aug 08, 1983",1.59,0.57,1.26,0.57,0.0,0.0,0.52,0.3,Akiyo Nishiura,68.0,13,8,1.0
170.0,,,"Sep 22, 1985",3.13,0.37,4.4,0.72,0.0,0.0,0.0,0.0,Chuck O'Neil,74.0,17,9,0.0
170.0,,Orthodox,"Oct 21, 1982",3.29,0.64,0.84,0.47,1.15,0.25,0.5,0.0,Johnny Rees,72.0,13,5,
,,,"Nov 26, 1983",0.82,0.6,7.36,0.51,0.0,0.0,0.66,0.0,Sam Liera,,12,10,0.0
170.0,73.0,Orthodox,"Sep 27, 1994",3.4,0.5,3.87,0.48,1.0,0.5,0.0,0.0,Ding Meng,74.0,34,9,0.0
160.0,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andrew Ramm,73.0,4,4,0.0
185.0,,,"Dec 17, 1982",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jeremiah Riggs,72.0,7,8,0.0
135.0,69.0,Southpaw,"Jul 23, 1991",3.26,0.44,3.63,0.53,0.5,0.16,0.3,0.0,Teruto Ishihara,67.0,10,7,2.0
135.0,71.0,Switch,"Dec 18, 1991",4.42,0.5,4.94,0.53,1.68,0.37,0.73,0.1,John Castaneda,66.0,21,8,0.0
183.0,,Orthodox,"May 23, 1981",1.69,0.41,1.69,0.61,3.63,0.25,0.0,3.6,Brady Fink,72.0,2,3,0.0
115.0,65.0,Orthodox,"Jul 31, 1994",3.53,0.62,2.58,0.5,3.06,0.6,0.0,0.0,Tiffany Masters,63.0,2,1,0.0
185.0,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kenyon Jackson,72.0,4,3,0.0
155.0,,,"Feb 08, 1994",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tetsuya Seki,70.0,14,8,1.0
265.0,77.0,Orthodox,"Nov 13, 1991",0.07,0.08,1.6,0.44,0.0,0.0,0.0,0.0,Jimmy Lawson,72.0,4,2,0.0
155.0,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jess Bouscal,,3,2,0.0
125.0,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anthony Do,64.0,4,2,0.0
185.0,,Orthodox,--,0.82,0.5,3.84,0.58,0.0,0.0,0.0,0.0,Stefan Klever,,6,1,0.0
155.0,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rashard Lovelace,,4,1,0.0
145.0,72.0,Orthodox,"Jul 17, 1992",1.4,0.33,2.67,0.51,1.0,0.33,0.83,1.0,Sung Bin Jo,72.0,9,1,0.0
210.0,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Thaddeus Luster,75.0,0,1,0.0
250.0,,Orthodox,"Aug 25, 1977",2.91,0.54,6.26,0.26,2.57,0.4,0.33,0.0,Gilbert Aldana,73.0,6,2,0.0
135.0,68.0,Orthodox,"Sep 23, 1990",2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0,Ali AlQaisi,66.0,8,5,0.0
125.0,65.0,Southpaw,"Jan 06, 1985",1.83,0.29,3.04,0.55,5.15,0.42,0.47,0.6,Wilson Reis,64.0,23,10,0.0
185.0,,Orthodox,"Jun 23, 1982",0.99,0.27,0.99,0.57,0.0,0.0,0.5,0.0,Alavutdin Gadjiev,74.0,18,13,1.0
135.0,,Orthodox,"Jan 20, 1985",2.4,0.27,3.2,0.52,1.0,1.0,0.26,0.0,Donavon Frelow,67.0,6,3,0.0
145.0,71.0,Orthodox,"Nov 24, 1995",1.61,0.35,2.62,0.52,1.73,0.38,0.78,0.2,Baergeng Jieleyisi,69.0,18,7,0.0
155.0,72.0,Orthodox,"Sep 27, 1997",4.76,0.47,5.86,0.5,0.99,0.16,0.76,0.0,Elves Brener,70.0,16,6,0.0
350.0,,Southpaw,"Oct 12, 1963",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Koji Kitao,79.0,1,2,0.0
185.0,76.0,Orthodox,"Dec 17, 1979",1.59,0.44,3.64,0.43,0.43,0.42,0.36,0.1,David Loiseau,72.0,23,11,0.0
155.0,74.0,Orthodox,"Jan 07, 1984",2.76,0.54,2.83,0.54,2.1,0.25,0.5,0.0,Caros Fodor,69.0,11,6,0.0
205.0,,,"Oct 04, 1982",1.28,0.48,1.92,0.5,0.51,1.0,0.0,2.5,Liam McGeary,78.0,12,2,0.0
205.0,75.0,Orthodox,"Jun 22, 1963",2.85,0.57,1.53,0.59,2.78,0.46,0.58,0.5,Randy Couture,73.0,19,11,0.0
155.0,,Orthodox,"Apr 16, 1986",1.17,0.12,4.31,0.41,0.8,0.5,0.0,0.0,Pat Audinwood,72.0,11,2,1.0
155.0,74.0,Orthodox,"Oct 17, 1989",3.35,0.54,3.24,0.49,2.22,0.4,0.54,2.6,Charles Oliveira,70.0,36,11,
155.0,73.0,Orthodox,"Jun 06, 1982",2.64,0.42,4.5,0.48,1.4,0.33,0.5,1.9,Vagner Rocha,70.0,14,4,0.0
205.0,,Orthodox,"Jul 06, 1987",3.16,0.61,2.84,0.41,2.4,0.36,0.62,0.0,Hans Stringer,75.0,22,8,3.0
155.0,71.0,Southpaw,"Aug 12, 2001",0.21,0.5,7.37,0.25,3.16,1.0,0.0,6.3,Jinnosuke Kashimura,67.0,4,2,0.0
135.0,63.0,Orthodox,"Sep 23, 1979",2.69,0.33,3.15,0.58,1.62,0.62,0.86,0.4,Antonio Banuelos,65.0,20,11,1.0
135.0,66.0,Southpaw,"Oct 15, 1996",3.07,0.33,5.27,0.5,0.0,0.0,1.0,0.0,Xavier Franklin,66.0,5,1,
170.0,,,"Mar 10, 1980",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fernando Bettega,,7,5,0.0
170.0,,,"Aug 13, 1992",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cedric Doumbe,70.0,2,0,0.0
115.0,,Orthodox,"May 28, 1988",1.93,0.2,4.67,0.57,0.0,0.0,0.16,0.0,Tina Lahdemaki,62.0,5,1,0.0
185.0,75.0,Southpaw,"Jan 16, 1993",3.44,0.56,2.5,0.6,1.28,0.48,0.76,0.4,Caio Borralho,73.0,17,2,
145.0,69.0,Orthodox,"Oct 26, 1995",4.08,0.5,4.54,0.53,2.11,0.46,0.83,0.3,Morgan Charriere,68.0,21,11,1.0
170.0,77.0,Orthodox,"Feb 21, 1995",6.39,0.44,5.83,0.55,0.4,0.33,0.85,0.8,Trey Waters,77.0,9,2,0.0
245.0,,Orthodox,"Oct 28, 1968",2.02,0.7,1.32,0.19,1.17,0.5,0.0,1.2,Bobby Hoffman,74.0,36,10,
240.0,,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Harold Howard,74.0,1,3,0.0
155.0,77.0,Orthodox,"Mar 02, 1993",4.78,0.55,3.07,0.54,0.19,0.33,0.47,1.1,Joel Alvarez,75.0,23,3,0.0
170.0,74.0,Orthodox,"Jun 25, 1987",4.24,0.32,4.02,0.6,0.14,0.33,0.68,0.0,Sean Spencer,70.0,12,6,0.0
135.0,68.0,Orthodox,"May 18, 1996",4.73,0.42,5.2,0.52,3.0,0.34,0.87,0.0,Caolan Loughran,66.0,10,2,0.0
185.0,73.0,Orthodox,"Jun 22, 1988",2.6,0.47,3.72,0.52,0.81,0.25,0.77,1.0,Markus Perez,73.0,12,5,0.0
145.0,70.0,Switch,"May 28, 1990",5.81,0.52,3.95,0.51,0.56,0.18,0.65,0.8,Hyder Amil,69.0,11,2,0.0
170.0,72.0,Orthodox,"Mar 26, 1997",2.8,0.38,3.87,0.55,0.0,0.0,0.55,2.0,Kaik Brito,71.0,16,5,0.0
135.0,71.0,Orthodox,"Mar 31, 1993",2.07,0.57,0.2,0.25,3.0,0.75,1.0,1.0,Danny Sabatello,70.0,9,1,0.0
205.0,,Orthodox,"Jun 29, 1981",0.6,0.16,3.93,0.39,0.0,0.0,0.06,0.0,Ryo Kawamura,71.0,18,9,4.0
125.0,,,"Jul 16, 1988",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lacey Schuckman,63.0,11,10,0.0
145.0,66.0,Orthodox,"May 01, 1985",2.78,0.49,2.35,0.67,4.13,0.55,1.0,0.3,Chad Mendes,66.0,18,5,0.0
155.0,72.0,Orthodox,"Dec 15, 1979",4.44,0.47,4.47,0.55,0.27,0.25,0.56,0.5,Paul Taylor,72.0,11,6,
145.0,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jay Bogan,,6,6,0.0
185.0,74.0,Orthodox,"Apr 06, 1988",0.99,0.3,3.85,0.46,0.0,0.0,0.0,0.0,Alen Amedovski,70.0,8,4,0.0
,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kyle Levinton,,0,3,0.0
170.0,76.0,Southpaw,"Jan 14, 1986",3.01,0.42,2.74,0.54,3.51,0.5,0.89,0.5,Matthew Riddle,73.0,8,3,
145.0,66.0,Orthodox,"Sep 15, 1987",2.35,0.38,3.7,0.35,0.92,0.14,0.55,0.9,Mike Wilkinson,67.0,9,4,0.0
135.0,,Orthodox,"Oct 12, 1986",1.71,0.33,4.41,0.56,0.0,0.0,0.0,0.0,Rico DiSciullo,68.0,9,2,
170.0,,Orthodox,"Mar 07, 1984",1.53,0.58,0.73,0.66,0.0,0.0,0.68,0.0,Joe Merritt,72.0,7,2,0.0
185.0,,Orthodox,"Jun 05, 1974",1.16,0.21,4.63,0.57,0.0,0.0,0.0,0.0,Brian Warren,72.0,18,17,1.0
185.0,73.0,Orthodox,"Jul 01, 1989",2.82,0.66,2.02,0.5,1.14,0.41,0.41,0.2,Antonio Arroyo,75.0,9,5,0.0
170.0,73.0,Orthodox,"Apr 17, 1984",2.91,0.4,3.23,0.49,1.32,0.61,0.62,0.3,Siyar Bahadurzada,71.0,24,8,1.0
255.0,,Orthodox,"Aug 02, 1981",2.75,0.41,1.7,0.65,2.32,0.72,0.66,0.9,Aleksander Emelianenko,78.0,23,7,0.0
135.0,,Orthodox,"May 27, 1987",1.94,0.53,2.52,0.56,1.72,0.18,0.0,0.0,Anthony Leone,66.0,15,8,0.0
185.0,,Orthodox,--,3.53,0.58,2.8,0.73,0.0,0.0,0.0,0.0,Jorge Ortiz,72.0,18,9,
155.0,,,"Apr 25, 1985",2.02,0.38,5.91,0.38,0.0,0.0,0.0,0.0,Martin Svensson,73.0,15,6,0.0
185.0,75.0,Orthodox,"Jan 05, 1981",3.29,0.55,3.31,0.51,1.7,0.32,0.6,0.7,Trevor Smith,75.0,15,10,0.0
135.0,68.0,Southpaw,"Nov 23, 1990",3.55,0.45,4.44,0.4,0.87,0.6,0.28,0.0,Chelsea Chandler,68.0,6,4,0.0
205.0,69.0,,"May 09, 1996",3.98,0.6,3.45,0.69,0.0,0.0,0.0,0.0,Jair De Oliveira,69.0,6,1,0.0
145.0,73.0,Orthodox,"Jun 01, 1990",3.41,0.39,3.15,0.61,2.74,0.66,0.66,1.4,Bobby Moffett,70.0,13,5,
205.0,71.0,Orthodox,"Oct 06, 1991",1.03,0.87,0.29,0.75,2.2,0.5,0.4,0.0,Nasrudin Nasrudinov,72.0,9,1,0.0
235.0,,Orthodox,"Aug 01, 1967",1.23,0.36,3.08,0.16,4.62,1.0,0.0,0.0,Sherman Pendergarst,73.0,11,18,
145.0,66.0,Southpaw,"Oct 19, 1997",0.79,0.22,8.29,0.53,5.92,0.5,0.0,0.0,Justice Torres,67.0,12,4,0.0
185.0,78.0,Orthodox,"Jun 17, 1984",3.11,0.45,3.37,0.51,3.27,0.42,0.72,0.8,Chris Weidman,74.0,16,8,0.0
185.0,,Orthodox,--,0.85,0.16,3.41,0.66,8.53,1.0,0.0,0.0,Murad Chunkaiev,71.0,8,4,0.0
205.0,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Isi Fitikefu,70.0,6,0,0.0
205.0,72.0,Switch,"Jan 03, 1991",2.81,0.46,3.84,0.49,1.41,0.2,0.5,0.0,Jeremy Kimball,72.0,15,8,0.0
230.0,,,--,4.34,0.54,0.43,0.4,4.34,1.0,0.0,4.3,Jason Glaza,72.0,3,2,0.0
135.0,67.0,Orthodox,"Mar 31, 1986",1.52,0.48,0.79,0.66,1.14,0.6,0.7,0.8,Frank Gomez,70.0,10,6,0.0
205.0,77.0,Orthodox,"Mar 07, 1992",4.31,0.54,2.58,0.44,2.17,0.38,0.53,1.4,Nikita Krylov,75.0,30,11,0.0
155.0,,,--,1.28,1.0,2.55,0.0,0.0,0.0,0.0,0.0,Victor Valenzuela,70.0,13,6,2.0
165.0,,Orthodox,"Jul 19, 1956",0.0,0.0,5.57,0.48,0.0,0.0,0.0,0.0,Yoshiaki Yatsu,73.0,0,2,0.0
155.0,,Orthodox,"Jul 20, 1983",1.67,0.35,3.0,0.38,3.0,0.5,0.4,1.0,Ryan Healy,73.0,25,14,1.0
155.0,,Orthodox,"Jul 22, 1971",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joao Roque,66.0,7,2,4.0
155.0,73.0,Orthodox,"Aug 02, 1999",5.57,0.41,4.12,0.57,0.0,0.0,0.54,0.0,James Llontop,72.0,14,5,0.0
185.0,70.0,Orthodox,"May 21, 1979",1.9,0.27,5.87,0.5,0.12,0.06,0.58,0.5,Scott Smith,72.0,18,11,
125.0,65.0,Southpaw,"Jul 29, 1992",3.65,0.4,3.04,0.64,0.0,0.0,1.0,0.5,Zarrukh Adashev,65.0,4,4,0.0
170.0,76.0,Orthodox,"Oct 30, 1986",3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0,Adlan Amagov,74.0,14,2,1.0
135.0,71.0,Orthodox,"Aug 16, 1990",2.31,0.38,9.56,0.5,0.0,0.0,0.0,0.0,Victor Madrigal,67.0,15,5,0.0
265.0,,Orthodox,"May 01, 1970",5.18,0.53,4.86,0.35,0.0,0.0,0.0,0.0,Ruben Villareal,76.0,22,28,3.0
155.0,,,--,4.47,0.63,3.27,0.57,4.0,0.66,0.69,0.0,Hugh Pulley,72.0,6,3,0.0
135.0,68.0,Orthodox,"Jun 22, 1985",3.54,0.38,3.93,0.57,0.55,0.42,0.72,0.2,Douglas Silva de Andrade,67.0,29,6,
264.0,74.0,Southpaw,"Dec 13, 1993",4.05,0.54,5.11,0.47,0.0,0.0,0.53,0.0,Justin Tafa,72.0,7,5,
135.0,74.0,Orthodox,"Aug 06, 2004",5.36,0.37,4.29,0.5,0.0,0.0,1.0,0.0,Santiago Luna,69.0,7,0,0.0
125.0,70.0,Southpaw,"Aug 07, 1991",3.01,0.48,3.44,0.5,2.73,0.39,0.63,1.5,Tagir Ulanbekov,67.0,17,3,0.0
125.0,68.0,Orthodox,"Nov 18, 1984",3.13,0.58,3.27,0.58,0.0,0.0,0.0,1.0,DeAnna Bennett,64.0,8,3,1.0
145.0,,Orthodox,"Jan 16, 1993",2.37,0.3,4.17,0.48,0.0,0.0,0.46,0.0,Chris Avila,70.0,5,4,0.0
170.0,,Southpaw,"Feb 13, 1980",0.53,0.34,0.58,0.66,0.0,0.0,0.2,0.0,Anthony Lapsley,69.0,23,7,
205.0,,Orthodox,--,0.8,0.72,0.7,0.63,0.0,0.0,0.0,0.0,Philip Preece,68.0,10,14,0.0
155.0,,Orthodox,"Nov 09, 1977",0.0,0.0,5.55,0.27,0.0,0.0,0.0,0.0,Joe Veres,67.0,4,3,0.0
155.0,,,--,2.87,0.25,3.4,0.59,0.0,0.0,0.4,1.0,Bobby Cooper,73.0,12,7,0.0
185.0,,Orthodox,"Mar 31, 1984",1.17,0.28,1.83,0.67,0.0,0.0,1.0,0.0,Richardson Moreira,74.0,7,4,0.0
170.0,,,--,7.57,0.31,6.99,0.45,0.0,0.0,0.0,0.0,Lucas Gamaza,,8,4,0.0
205.0,,,"Oct 26, 1983",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Roy Jones,,7,5,0.0
135.0,,Orthodox,"Apr 17, 1986",1.6,0.28,3.08,0.59,0.47,0.11,0.66,0.9,Jumabieke Tuerxun,67.0,19,4,1.0
155.0,71.0,Southpaw,"Oct 07, 1983",1.95,0.31,2.51,0.63,4.08,0.53,0.92,0.8,Gleison Tibau,70.0,33,14,0.0
125.0,66.0,Orthodox,"Aug 09, 1993",4.11,0.41,3.73,0.58,0.41,0.35,0.54,0.6,Alexa Grasso,65.0,16,5,1.0
155.0,,,"Aug 08, 1997",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nair Melikyan,66.0,11,0,0.0
170.0,,,"Jan 18, 1974",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marlon Sims,,3,4,0.0
155.0,70.0,Orthodox,"Apr 25, 1984",3.7,0.44,3.44,0.48,0.29,0.28,0.64,0.2,Paul Felder,71.0,17,6,0.0
205.0,,Orthodox,--,0.48,0.23,4.81,0.52,0.0,0.0,0.0,9.6,Rodrigo Gripp de Sousa,71.0,7,9,0.0
185.0,78.0,Switch,"Oct 12, 1991",4.31,0.49,5.39,0.45,0.0,0.0,0.0,0.0,KB Bhullar,76.0,8,2,0.0
205.0,75.0,Orthodox,"Feb 22, 1993",3.56,0.42,5.74,0.52,1.4,0.71,0.5,0.8,John Allan,73.0,13,7,
